hex_id,area_fm,lat_centroide,lon_centroide,y_lag1,prob_crime,decil_risco,top_driver_1,contrib_top1,top_driver_2,contrib_top2,top_driver_3,contrib_top3,y_lag1,y_lag2,y_lag4,y_lag12,n_crimes_12w,W_y_lag1,n_fat_ilum,n_fat_vegetac,n_fat_lixo,n_fat_calcada,n_fat_transito,n_fat_mobil,n_fat_sitrua,n_fat_total,n_cameras,n_cameras_ring1,week_sin,week_cos,is_holiday_week,n_dd_lag1,orcrim_CV,orcrim_Milícia,orcrim_Sem domínio,orcrim_TCP,fe_area_Campo Grande: Estação de Trem - Calçadão,fe_area_Estações São Francisco Xavier - Afonso Pena,fe_area_Jardim de Alah,fe_area_Metrô Botafogo - Rua São Clemente - Rua Voluntários da Pátria,fe_area_Praia de Botafogo - Rua Marquês de Abrantes,fe_area_Presidente Vargas - Campo de Santana - Central do Brasil - Cinelândia,fe_area_Rodoviária - Terminal Gentileza - Estação Leopoldina,fe_area_Rua Lauro Müller – Avenida General Severiano – Avenida Venceslau Brás
89a8a061247ffff,Rodoviária - Terminal Gentileza - Estação Leopoldina,-22.89844989669796,-43.211112222728765,0,0.31942346464588633,4,fe_area_Rodoviária - Terminal Gentileza - Estação Leopoldina,0.29,n_fat_transito,0.1551,n_fat_total,0.1373,0,0,0,0,0.0,0.16666666666666666,0.0,1.0,0.0,3.0,3.0,0.0,0.0,7.0,8.0,17.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,False,False,False,False,False,False,True,False
89a8a06124bffff,Rodoviária - Terminal Gentileza - Estação Leopoldina,-22.898598847291254,-43.204968562824874,0,0.22921042960610855,2,fe_area_Rodoviária - Terminal Gentileza - Estação Leopoldina,0.5035,orcrim_Sem domínio,0.196,n_cameras_ring1,0.1552,0,0,0,0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,False,False,False,False,False,False,True,False
89a8a06124fffff,Rodoviária - Terminal Gentileza - Estação Leopoldina,-22.89697375026909,-43.20800337096211,0,0.2545997162642631,2,fe_area_Rodoviária - Terminal Gentileza - Estação Leopoldina,0.4221,n_cameras_ring1,0.1801,orcrim_Sem domínio,0.1643,0,0,0,0,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,False,False,False,False,False,False,True,False
89a8a061253ffff,Rodoviária - Terminal Gentileza - Estação Leopoldina,-22.903176187540165,-43.208151473937235,0,0.27134863625540606,3,fe_area_Rodoviária - Terminal Gentileza - Estação Leopoldina,0.3692,n_cameras_ring1,0.3064,orcrim_Sem domínio,0.1438,0,0,0,0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,35.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,False,False,False,False,False,False,True,False
89a8a061257ffff,Rodoviária - Terminal Gentileza - Estação Leopoldina,-22.90155111325781,-43.211186289073,0,0.3511907471752282,4,fe_area_Rodoviária - Terminal Gentileza - Estação Leopoldina,0.2493,n_cameras_ring1,0.2482,n_fat_total,0.1181,0,0,0,0,0.0,0.3333333333333333,1.0,2.0,0.0,2.0,2.0,0.0,0.0,7.0,7.0,42.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,False,False,False,False,False,False,True,False
89a8a06125bffff,Rodoviária - Terminal Gentileza - Estação Leopoldina,-22.90170006799873,-43.20504259945527,0,0.24529281817818535,2,fe_area_Rodoviária - Terminal Gentileza - Estação Leopoldina,0.4584,n_crimes_12w,0.2424,orcrim_Sem domínio,0.1785,0,0,0,0,2.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,False,False,False,False,False,False,True,False
89a8a0612c3ffff,Rodoviária - Terminal Gentileza - Estação Leopoldina,-22.907753211335606,-43.21133442392354,0,0.40683738406694686,5,n_cameras_ring1,0.2864,fe_area_Rodoviária - Terminal Gentileza - Estação Leopoldina,0.2013,n_crimes_12w,0.1065,0,0,0,0,2.0,0.16666666666666666,1.0,2.0,0.0,2.0,2.0,0.0,0.0,7.0,25.0,60.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,False,False,False,False,False,False,True,False
89a8a0612c7ffff,Rodoviária - Terminal Gentileza - Estação Leopoldina,-22.906128159790796,-43.21436924603901,0,0.26758063200553905,3,n_cameras_ring1,0.359,fe_area_Rodoviária - Terminal Gentileza - Estação Leopoldina,0.3521,orcrim_Sem domínio,0.1371,0,0,0,0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,43.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,False,False,False,False,False,False,True,False
89a8a0612cbffff,Rodoviária - Terminal Gentileza - Estação Leopoldina,-22.90627723865748,-43.20822552650564,0,0.32595920182906585,4,n_cameras_ring1,0.3936,fe_area_Rodoviária - Terminal Gentileza - Estação Leopoldina,0.2766,orcrim_Sem domínio,0.1077,0,0,0,0,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,13.0,60.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,False,False,False,False,False,False,True,False
89a8a0612cfffff,Rodoviária - Terminal Gentileza - Estação Leopoldina,-22.90465221814108,-43.21126035613791,1,0.6598108838278698,8,n_cameras_ring1,0.2636,n_crimes_12w,0.245,fe_area_Rodoviária - Terminal Gentileza - Estação Leopoldina,0.1323,1,1,1,0,7.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,8.0,84.0,0.12053668025532305,0.992708874098054,0,0.0,False,False,True,False,False,False,False,False,False,False,True,False
